CCA3,Country,Capital,Continent,Area (km²),Density (per km²),Growth Rate,World Population Percentage,Year,Population
CHN,China,Beijing,Asia,9706961,146.8933,1.0,17.88,2022,1425887337
IND,India,New Delhi,Asia,3287590,431.0675,1.0068,17.77,2022,1417173173
USA,United States,"Washington, D.C.",North America,9372610,36.0935,1.0038,4.24,2022,338289857
IDN,Indonesia,Jakarta,Asia,1904569,144.6529,1.0064,3.45,2022,275501339
PAK,Pakistan,Islamabad,Asia,881912,267.4018,1.0191,2.96,2022,235824862
NGA,Nigeria,Abuja,Africa,923768,236.5759,1.0241,2.74,2022,218541212
BRA,Brazil,Brasilia,South America,8515767,25.2841,1.0046,2.7,2022,215313498
BGD,Bangladesh,Dhaka,Asia,147570,1160.035,1.0108,2.15,2022,171186372
RUS,Russia,Moscow,Europe,17098242,8.4636,0.9973,1.81,2022,144713314
MEX,Mexico,Mexico City,North America,1964375,64.9082,1.0063,1.6,2022,127504125
JPN,Japan,Tokyo,Asia,377930,327.9753,0.9947,1.55,2022,123951692
ETH,Ethiopia,Addis Ababa,Africa,1104300,111.7268,1.0257,1.55,2022,123379924
PHL,Philippines,Manila,Asia,342353,337.5434,1.0147,1.45,2022,115559009
EGY,Egypt,Cairo,Africa,1002450,110.7188,1.0158,1.39,2022,110990103
COD,DR Congo,Kinshasa,Africa,2344858,42.2244,1.0325,1.24,2022,99010212
VNM,Vietnam,Hanoi,Asia,331212,296.4472,1.0074,1.23,2022,98186856
IRN,Iran,Tehran,Asia,1648195,53.7258,1.0071,1.11,2022,88550570
TUR,Turkey,Ankara,Asia,783562,108.9145,1.0067,1.07,2022,85341241
DEU,Germany,Berlin,Europe,357114,233.4544,0.9995,1.05,2022,83369843
THA,Thailand,Bangkok,Asia,513120,139.7276,1.0013,0.9,2022,71697030
GBR,United Kingdom,London,Europe,242900,277.9289,1.0034,0.85,2022,67508936
TZA,Tanzania,Dodoma,Africa,945087,69.3034,1.03,0.82,2022,65497748
FRA,France,Paris,Europe,551695,117.1419,1.0015,0.81,2022,64626628
ZAF,South Africa,Pretoria,Africa,1221037,49.0517,1.0084,0.75,2022,59893885
ITA,Italy,Rome,Europe,301336,195.9191,0.9966,0.74,2022,59037474
MMR,Myanmar,Nay Pyi Taw,Asia,676578,80.0784,1.0071,0.68,2022,54179306
KEN,Kenya,Nairobi,Africa,580367,93.0919,1.0193,0.68,2022,54027487
COL,Colombia,Bogota,South America,1141748,45.4339,1.0069,0.65,2022,51874024
KOR,South Korea,Seoul,Asia,100210,517.0722,0.9997,0.65,2022,51815810
ESP,Spain,Madrid,Europe,505992,93.9909,1.0015,0.6,2022,47558630
UGA,Uganda,Kampala,Africa,241550,195.61,1.0304,0.59,2022,47249585
SDN,Sudan,Khartoum,Africa,1886068,24.8529,1.0267,0.59,2022,46874204
ARG,Argentina,Buenos Aires,South America,2780400,16.3683,1.0052,0.57,2022,45510318
DZA,Algeria,Algiers,Africa,2381741,18.8531,1.0164,0.56,2022,44903225
IRQ,Iraq,Baghdad,Asia,438317,101.5158,1.0221,0.56,2022,44496122
AFG,Afghanistan,Kabul,Asia,652230,63.0587,1.0257,0.52,2022,41128771
POL,Poland,Warsaw,Europe,312679,127.4698,1.0404,0.5,2022,39857145
UKR,Ukraine,Kiev,Europe,603500,65.7858,0.912,0.5,2022,39701739
CAN,Canada,Ottawa,North America,9984670,3.8513,1.0078,0.48,2022,38454327
MAR,Morocco,Rabat,Africa,446550,83.883,1.0103,0.47,2022,37457971
SAU,Saudi Arabia,Riyadh,Asia,2149690,16.9368,1.0128,0.46,2022,36408820
AGO,Angola,Luanda,Africa,1246700,28.5466,1.0315,0.45,2022,35588987
UZB,Uzbekistan,Tashkent,Asia,447400,77.3975,1.016,0.43,2022,34627652
PER,Peru,Lima,South America,1285216,26.4933,1.0099,0.43,2022,34049588
MYS,Malaysia,Kuala Lumpur,Asia,330803,102.5934,1.0109,0.43,2022,33938221
YEM,Yemen,Sanaa,Asia,527968,63.8232,1.0217,0.42,2022,33696614
GHA,Ghana,Accra,Africa,238533,140.3406,1.0196,0.42,2022,33475870
MOZ,Mozambique,Maputo,Africa,801590,41.1302,1.0278,0.41,2022,32969517
NPL,Nepal,Kathmandu,Asia,147181,207.5511,1.0171,0.38,2022,30547580
MDG,Madagascar,Antananarivo,Africa,587041,50.4423,1.0241,0.37,2022,29611714
VEN,Venezuela,Caracas,South America,916445,30.882,1.0036,0.35,2022,28301696
CIV,Ivory Coast,Yamoussoukro,Africa,322463,87.3295,1.0248,0.35,2022,28160542
CMR,Cameroon,Yaounde,Africa,475442,58.7128,1.0263,0.35,2022,27914536
NER,Niger,Niamey,Africa,1267000,20.6851,1.0378,0.33,2022,26207977
AUS,Australia,Canberra,Oceania,7692024,3.4032,1.0099,0.33,2022,26177413
PRK,North Korea,Pyongyang,Asia,120538,216.2755,1.0038,0.33,2022,26069416
TWN,Taiwan,Taipei,Asia,36193,660.1662,1.0014,0.3,2022,23893394
BFA,Burkina Faso,Ouagadougou,Africa,272967,83.0641,1.0259,0.28,2022,22673762
MLI,Mali,Bamako,Africa,1240192,18.2178,1.0314,0.28,2022,22593590
